Move Number,Best Score
0,0
1,1
2,2
3,3
4,4
5,5
6,46
7,47
8,48
9,49
10,50
11,51
12,52
13,93
14,134
15,135
16,176
17,217
18,218
19,219
20,220
21,261
22,262
23,303
24,304
25,345
26,346
27,467
28,468
29,469
30,470
31,471
32,472
33,473
34,474
35,475
36,516
37,517
38,558
39,559
40,600
41,601
42,602
43,603
44,644
45,645
46,646
47,687
48,688
49,689
50,730
51,731
52,732
53,733
54,734
55,735
56,776
57,777
58,778
59,819
60,940
61,941
62,982
63,983
64,1024
