Generation,Best Score,one_rows,two_rows,three_rows,four_rows
0.0,73.0,-1.561563606294591,-9.404055611238594,-5.627240503927933,0.10710576206724731
1.0,74.0,-6.502799147907811,-0.525171121189371,1.5969395123744197,-8.110465636045985
2.0,116.0,-4.042332141313851,-0.1460595373888835,1.747384972790148,-8.686420941786167
3.0,72.0,-5.040512743100754,0.29291880622754973,3.234585973835726,-7.6679829447552486
4.0,79.0,-5.040512743100754,0.29291880622754973,3.234585973835726,-7.6679829447552486
5.0,113.0,-4.671757285900768,-0.7593659771635619,1.256445465094114,-6.193401340949314
6.0,70.0,-4.810295247721757,-0.3640324673812658,1.9996142750080894,-6.747387799837731
7.0,106.0,-4.983175118808067,0.11071443244497065,2.927005773803969,-7.4387008979757185
8.0,157.0,-4.8895297932169495,0.11209667871390346,2.8110327467123364,-7.697296092483718
9.0,114.0,-4.916658779027831,-0.001801053631819649,2.6786166627081296,-7.368324928729519
