Generation,Best Score,aggregate_height,complete_lines,holes,bumpiness
0.0,100097.0,6.116385036656158,3.962787899764537,-3.1949896696401625,-6.890410003764369
1.0,100051.0,6.112399494757052,3.896008145692206,-3.2064915588872145,-6.876701329083017
2.0,100021.0,6.134426545782424,3.919702820779987,-3.224484650400802,-6.897412769246357
3.0,73174.0,3.6115778364266635,4.027907432775005,-3.9262368727762387,-6.00329964919438
4.0,100192.0,3.7511681858055876,4.0251577600111546,-3.8905777140030002,-6.054466887263994
5.0,100005.0,3.810731154082326,4.023984479248313,-3.8753620106808464,-6.076299862047055
6.0,88672.0,4.111611380393402,4.0500131993473545,-3.7863719610491007,-6.180099301723672
7.0,100029.0,4.151018473339001,4.028206644162131,-3.775661871407393,-6.194199889065342
8.0,100028.0,4.131316108807144,4.039109267708518,-3.78101659499944,-6.187150018314856
9.0,100546.0,4.131316108807144,4.039109267708518,-3.78101659499944,-6.187150018314856
