aggregate_height,complete_lines,holes,bumpiness
5.892075065540727,3.9443144537384005,-3.2646955924208165,-6.81163863867611
5.869292804735639,3.9451696660496323,-3.273788179070312,-6.803598682645845
5.891939063374746,3.9428613866948843,-3.251588118036629,-6.764983956819883
5.8477391685001745,3.944944982360086,-3.2800638158606183,-6.795995630208006
5.838188672380447,3.943898773457182,-3.2602247509786815,-6.782949031060779
5.882251237210404,3.943318073586528,-3.2578294815333066,-6.7717811607884
5.8810174590451005,3.8594876713007547,-3.269108773626039,-6.807736362655946
5.892015874662933,3.943682049738224,-3.2589909559625374,-6.7913335828533405
5.877375511227359,3.9445235053272767,-3.269790922621234,-6.806452203576104
5.874861577099981,3.944181668682728,-3.2632674252533516,-6.80247402029857
5.889405541629447,3.944043697720409,-3.2628297976842435,-6.8008077806147815
5.879476121039184,3.9441317048057494,-3.2638055039155915,-6.786234844612952
5.8618641927252435,3.945092227239008,-3.2759511213378745,-6.800978237258423
5.858956686500653,3.944747339654235,-3.26928095813819,-6.796736660652845
5.872966329106559,3.9446447669114484,-3.2692641238310314,-6.794578884750289
