Generation,Best Score,aggregate_height,complete_lines,holes,bumpiness,four_rows
0.0,41727.0,6.116385036656158,3.962787899764537,-3.1949896696401625,-6.890410003764369,9.144261444135623
1.0,89206.0,6.116385036656158,3.962787899764537,-3.1949896696401625,-6.890410003764369,9.144261444135623
2.0,103806.0,5.528424285591412,3.7736905461684414,-3.5027048207981406,-6.847881022928028,8.842810082850928
3.0,184862.0,5.528424285591412,3.7736905461684414,-3.5027048207981406,-6.847881022928028,8.842810082850928
4.0,110019.0,5.465165392689942,3.7918234512713926,-3.5842026577220394,-6.7729910734183605,8.57682644982142
5.0,127006.0,5.590692906211294,3.868339698658419,-3.5452991941833383,-6.746988635947396,8.509714027358893
6.0,132777.0,5.396954993070465,3.797668491164382,-3.635416604010488,-6.747755723485982,8.473151531000482
7.0,141408.0,5.387269303109375,3.8794766494803907,-3.6804923867413235,-6.709630184000435,8.339967392082738
8.0,127451.0,5.387269303109375,3.8794766494803907,-3.6804923867413235,-6.709630184000435,8.339967392082738
9.0,296465.0,5.522078466021565,3.865153526785135,-3.5865905986090034,-6.719837436623738,8.408346626937025
