aggregate_height,complete_lines,holes,bumpiness,four_rows
3.579151345552,3.3350674412214776,-4.7020782509883805,-6.464516733565349,7.013160949004031
3.6059108076429713,3.344975785651,-4.708877310742702,-6.461482153665152,7.007549258028452
3.3922302279637804,3.303457086485655,-4.846308602669546,-6.414179824189434,6.7880237371256
3.467474731631243,3.3164050975816153,-4.789388011898971,-6.3803214265455654,6.877081791573363
3.4758494954325996,3.3158820111557543,-4.773037627677402,-6.439962586211049,6.900802183896367
3.568841988983139,3.335713234652403,-4.722215165784825,-6.457195195276686,6.983947918314469
3.5911140686667906,3.3394969316399843,-4.705117746663046,-6.463160135327597,7.010652262352617
3.512813924318308,3.3238490757178205,-4.753264921160312,-6.446652402322538,6.933260816517878
3.544692438451275,3.3293089932958977,-4.729018528227977,-6.438537451412593,6.9711723993908095
3.550132403867122,3.329677984250155,-4.722011737288518,-6.457619128446247,6.981597792597098
3.5765780070786946,3.3352286389713575,-4.707104665317272,-6.503298553888866,7.005869027797002
3.519385835101585,3.3281637557013015,-4.764526910618135,-6.442328177364756,6.918657512710416
3.556674586849555,3.334814325238868,-4.737511773467772,-6.43261650248998,6.961147155557733
3.5635390489139693,3.3354975298001395,-4.729779648439681,-6.454471445372105,6.972772880693157
3.595104952729365,3.3422756785032863,-4.712765401371284,-6.460232471262496,7.000669280140395
