one_rows,two_rows,three_rows,four_rows
-4.916658779027831,-0.001801053631819649,2.6786166627081296,-7.368324928729519
-4.902200525508981,-0.04845299589082193,2.587072882680522,-7.269644242343453
-4.809829506047451,-0.18250774339151313,2.2796886964026903,-7.255296856909864
-4.8647108441422375,0.020355827970550043,2.645570345080824,-7.5596559796515095
-4.889086769371312,-0.01662031383418712,2.618115059626787,-7.383328234649751
-4.897428483976427,0.051728206426963796,2.7307721462485604,-7.527952194496468
-4.909692529605112,-0.02427880762933893,2.634509205058464,-7.320778779834415
-4.872930734647261,-0.07576907690133149,2.515324904479478,-7.322059552181578
-4.904456243987591,0.003403582986186654,2.670854104876212,-7.413268464180994
-4.9107640735150575,-0.004969309261291316,2.665681837221774,-7.37153253206419
-4.912547474568565,0.009643133001437501,2.689767145396084,-7.402452137272798
-4.862755603684868,-0.10569799617490087,2.455811527459178,-7.263517520996137
-4.892894576233548,-0.03137279138622605,2.6015935293756325,-7.341632971462475
-4.899233179229655,-0.04124998024297026,2.5940970249092388,-7.362742182734122
-4.901120720490666,-0.02578425668022808,2.6195887744367936,-7.328093486991216
