Generation,Best Score,aggregate_height,complete_lines,holes,bumpiness,hole_segments,max_height,empty_columns,one_rows,two_rows,three_rows,four_rows
0.0,391.0,-8.40416046152745,-5.344182272779396,-7.979971411805417,-4.440527937798158,2.713688885288004,-2.7033564205983147,-2.5963806576623476,-5.809859384570246,-4.660443559017732,8.73309175424988,2.9607077049318704
1.0,432.0,-8.40416046152745,-5.344182272779396,-7.979971411805417,-4.440527937798158,2.713688885288004,-2.7033564205983147,-2.5963806576623476,-5.809859384570246,-4.660443559017732,8.73309175424988,2.9607077049318704
2.0,7685.0,-2.4204162018855695,0.009423132855152172,-8.0950257137313,-2.88115407981005,-1.5328010939064476,0.2634866025093885,0.36958885629531446,-6.41793265995018,-3.0989130230741417,5.833108903241327,0.08975262871211886
3.0,12976.0,-2.12603281876948,0.2728054571648488,-8.100686061696276,-2.804437273085292,-1.7417164539553833,0.40944693243316155,0.5155062120264058,-6.447848154366638,-3.0212424676236305,5.690437905682747,-0.05149028399258665
4.0,5342.0,-2.400732000410749,0.027034421514655432,-8.095404197831119,-2.8760243436677095,-1.5467704015312813,0.27324636717795947,0.3793457474570387,-6.419932985556467,-3.0930270397571404,5.823569082648094,0.08030829825725241
5.0,11385.0,-2.3278541677349125,0.09223760233836921,-8.096805479002331,-2.8570322574136204,-1.59848968844176,0.3093804464486629,0.415469187995384,-6.42733889404702,-3.0739825562410434,5.788249313652611,0.04534206731791263
6.0,14270.0,-2.3158236919129798,0.10091219929030613,-8.096491946657231,-2.854488581517482,-1.6055591735776553,0.31544676447558023,0.42215356660040326,-6.428755152049346,-3.0709893324417976,5.780544643288853,0.047613869013676494
7.0,13208.0,-2.3085785669160073,0.10654230462308614,-8.096409020693777,-2.8528417447533947,-1.6101019825997018,0.3190803813902633,0.4260389362851765,-6.429570418475895,-3.0689440464952904,5.776268901990333,0.047418666366746416
8.0,17997.0,-2.3219472764462714,0.09646828670274672,-8.096644105492569,-2.855791394884392,-1.6019407390240064,0.3123603551002475,0.4187610141012384,-6.428036910149874,-3.072573360142602,5.784440805684273,0.04656721618676654
9.0,20237.0,-2.326814900156627,0.09207410095048257,-8.096540296860578,-2.857070995028153,-1.5984588017526706,0.3099488048671239,0.4163617947689061,-6.42754588969786,-3.0738350478010856,5.774328196654663,0.04905347272077569
