aggregate_height,complete_lines,holes,bumpiness,hole_segments,max_height,empty_columns,one_rows,two_rows,three_rows,four_rows
-2.326814900156627,0.09207410095048257,-8.096540296860578,-2.857070995028153,-1.5984588017526706,0.3099488048671239,0.4163617947689061,-6.42754588969786,-3.0738350478010856,5.774328196654663,0.04905347272077569
-2.3208743049696103,0.09697439976676109,-8.096546357590402,-2.8556402876441678,-1.6023832043207595,0.31291438410212896,0.41944955268608886,-6.4281880335180155,-3.072257181283995,5.77833423483188,0.04780009997931524
-2.334202653675945,0.08582315063102333,-8.096491832709408,-2.858894659773008,-1.5934681106865096,0.3062684127583286,0.3503445203200345,-6.4267618671996765,-3.0757245112734255,5.7646266049739445,0.05121639968407098
-2.330247721573677,0.0888035316235932,-8.096422321339993,-2.858022012113314,-1.5958825862832042,0.308256425192053,0.3908835501840293,-6.42721552020355,-3.0746981282022317,5.763705528033336,0.05146777259667989
-2.336226441187491,0.08357795129604575,-8.096339583071373,-2.8595450994315983,-1.5917264827719841,0.3052860771548844,0.4117229088295009,-6.426596502603436,-3.076274518448886,5.754775486651884,0.05386064492130885
-2.3214305250197214,0.09613237660653591,-8.096445840862225,-2.855882749291534,-1.6017464310916985,0.3126553173016014,0.38668601729289187,-6.428163444208486,-3.072334689424471,5.769830069796682,0.049393056327817486
-2.3241459488165503,0.09427567481315993,-8.096543019785214,-2.8564282162712216,-1.600221931399342,0.31128116070424083,0.4177490422367875,-6.427834387829002,-3.07312615436151,5.776128003008217,0.048490365699908916
-2.330029656551697,0.08935402069033327,-8.096519207846239,-2.8578645566819976,-1.5962871191188623,0.308347294470604,0.38763459716213167,-6.427204724913014,-3.0746572415525515,5.770106581272342,0.11531023714865293
-2.328118046312585,0.09083254791630505,-8.0964955117327,-2.857432014174859,-1.597480834978961,0.30930635429948433,0.4066899032086814,-6.427420476900556,-3.0741626849748256,5.770295685755279,0.04996997411143546
-2.330117015178138,0.08909315837084408,-8.096469874810015,-2.8579390544977565,-1.5960967133802328,0.3083128492707654,0.41473420425069557,-6.427212789584345,-3.074690955738396,5.7674679707682035,0.0507401078299796
-2.3249709480513867,0.09346391234908549,-8.096507949126146,-2.856664064201108,-1.599584694894736,0.3108756866639005,0.4061989233195384,-6.427757379594276,-3.0733212297782266,5.772787752261671,0.04916976772088033
-2.327347682842184,0.09155840630820625,-8.096519875678357,-2.8572208870861635,-1.5980532778508398,0.3096865360928499,0.3858862811017159,-6.427495366054764,-3.0739412111458355,5.771676645826453,0.049459345201818807
-2.324891715249555,0.09347239712876967,-8.09649319613087,-2.856661085584824,-1.599597064449548,0.3109180008408985,0.40720627395900166,-6.4277712180544615,-3.073303361738395,5.772064427401229,0.049372050346919646
-2.3269923384869777,0.09163573421596558,-8.096463955153373,-2.85719640785151,-1.5981363569312268,0.3098744008110968,0.4163703808092587,-6.427553786964889,-3.0738581443732063,5.768945755668664,0.050215308948438495
-2.321091043456363,0.09664629432446106,-8.096507189920064,-2.855734766026483,-1.6021350772242198,0.3128134353026332,0.40668280851645977,-6.4281784519688845,-3.0722873833543343,5.775020474638491,0.04842081645361054
